country,flag,map,tags,population
Thailand,"<img src=""ug-flag-thailand.svg"" />","<img src=""ug-map-thailand.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",68263022
East Timor,"<img src=""ug-flag-east_timor.svg"" />","<img src=""ug-map-east_timor.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",1354662
United Arab Emirates,"<img src=""ug-flag-united_arab_emirates.svg"" />","<img src=""ug-map-united_arab_emirates.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",9282410
Turkmenistan,"<img src=""ug-flag-turkmenistan.svg"" />","<img src=""ug-map-turkmenistan.png"" />","UG::Asia, UG::Sovereign_State",6516100
Yemen,"<img src=""ug-flag-yemen.svg"" />","<img src=""ug-map-yemen.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",31890000
Vietnam,"<img src=""ug-flag-vietnam.svg"" />","<img src=""ug-map-vietnam.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",100000000
Uzbekistan,"<img src=""ug-flag-uzbekistan.svg"" />","<img src=""ug-map-uzbekistan.png"" />","UG::Asia, UG::Sovereign_State",36197788
Fiji,"<img src=""ug-flag-fiji.svg"" />","<img src=""ug-map-fiji.png"" />","UG::Oceania, UG::Sovereign_State",893468
Papua New Guinea,"<img src=""ug-flag-papua_new_guinea.svg"" />","<img src=""ug-map-papua_new_guinea.png"" />","UG::Oceania, UG::Sovereign_State",11781559
Australia,"<img src=""ug-flag-australia.svg"" />","<img src=""ug-map-australia.png"" />","UG::Oceania, UG::Sovereign_State",26683000
Solomon Islands,"<img src=""ug-flag-solomon_islands.svg"" />","<img src=""ug-map-solomon_islands.png"" />","UG::Oceania, UG::Sovereign_State",728041
Argentina,"<img src=""ug-flag-argentina.svg"" />","<img src=""ug-map-argentina.png"" />","UG::South_America, UG::Sovereign_State",46044703
Bolivia,"<img src=""ug-flag-bolivia-blur.svg"" /><img src=""ug-flag-bolivia.svg"" />","<img src=""ug-map-bolivia.png"" />","UG::South_America, UG::Sovereign_State",12006031
Brazil,"<img src=""ug-flag-brazil.svg"" />","<img src=""ug-map-brazil.png"" />","UG::South_America, UG::Sovereign_State",203062512
Chile,"<img src=""ug-flag-chile.svg"" />","<img src=""ug-map-chile.png"" />","UG::South_America, UG::Sovereign_State",19960889
Colombia,"<img src=""ug-flag-colombia.svg"" />","<img src=""ug-map-colombia.png"" />","UG::South_America, UG::Sovereign_State",52215503
Ecuador,"<img src=""ug-flag-ecuador.svg"" />","<img src=""ug-map-ecuador.png"" />","UG::South_America, UG::Sovereign_State",18347000
Guyana,"<img src=""ug-flag-guyana.svg"" />","<img src=""ug-map-guyana.png"" />","UG::South_America, UG::Sovereign_State",743699
Paraguay,"<img src=""ug-flag-paraguay-blur.svg"" /><img src=""ug-flag-paraguay.svg"" />","<img src=""ug-map-paraguay.png"" />","UG::South_America, UG::Sovereign_State",7453695
Peru,"<img src=""ug-flag-peru.svg"" />","<img src=""ug-map-peru.png"" />","UG::South_America, UG::Sovereign_State",33396698
